location,employment_pre,employment_te,employment_te_pct,employment_post,population_pre,population_te,population_te_pct,population_post,pop_share_pre,pop_share_te,pop_share_te_pct,pop_share_post,income_pre,income_te,income_te_pct,income_post,rent_pre,rent_te,rent_te_pct,rent_post,pool_id,displacement_pct
Surry Hills,19175,283.4029109925083,1.4779812828813992,19458.402910992507,16961,-72.52341285670379,-0.42758925096811884,16888.476587143297,0.003626317990522527,-1.5505745933397375e-5,-0.42758925096811784,0.0036108122445891295,25625.831318908084,-2145.603839880616,-8.372816527116825,23480.227479027468,9019.37432934379,941.5043229145991,10.438687746349464,9960.878652258389,P1,100
Sydney - Haymarket - The Rocks,43906,3900.3117999147103,8.883323008050631,47806.31179991471,25763,-4380.433775945539,-17.002809362052314,21382.566224054463,0.005508214750889208,-9.365512533461365e-4,-17.00280936205231,0.004571663497543071,12295.99774870939,3787.089254248265,30.79936522146619,16083.087002957654,8747.02045569227,1322.525745227886,15.119728505576207,10069.546200920156,P1,100
Waterloo - Beaconsfield,20593,-1613.767973321538,-7.8364879974823385,18979.232026678463,24217,-9858.1353054144,-40.70750012559111,14358.8646945856,0.005177674829107012,-0.0021077019875614367,-40.70750012559112,0.0030699728415455757,22796.264772680348,11189.207754405514,49.08351375096748,33985.47252708586,7410.134533592104,1529.658864699638,20.64279478011214,8939.793398291742,P1,100
Bondi Junction - Waverly,16222.000000000002,-561.038115069317,-3.4585015107219634,15660.961884930684,17195,-498.9971051361503,-2.9019895617106712,16696.00289486385,0.003676347965746999,-1.0668723421814038e-4,-2.9019895617106677,0.0035696607315288584,19955.088339633618,-2211.820507522447,-11.083992563087078,17743.26783211117,8824.239604536202,1002.5549004229509,11.361374411315577,9826.794504959153,P1,100
Paddington - Moore Park,14317,-994.7514662403045,-6.948044047218722,13322.248533759695,15672,-236.65658938301655,-1.5100599118364961,15435.343410616984,0.0033507255201620802,-5.0597962835642694e-5,-1.5100599118365023,0.0033001275573264375,29047.833652373658,-2088.820213069095,-7.190967278547487,26959.013439304563,9550.088820826953,1162.1595318683258,12.16909657776034,10712.248352695278,P1,100
Balmain,13266,-1905.0728481473905,-14.360567225594682,11360.92715185261,15886,-143.24400280451633,-0.9016996273732635,15742.755997195483,0.0033964794291280504,-3.0626042356257134e-5,-0.9016996273732623,0.0033658533867717932,35551.64408913509,-4344.31255521634,-12.219723353227431,31207.331533918747,9207.105375802594,922.5959520501493,10.02047782004152,10129.701327852743,P1,100
Leichhardt - Annandale,22014,-1557.2334144877389,-7.07383217265258,20456.76658551226,26300,-461.9570255720906,-1.7564905915288596,25838.04297442791,0.0056230271299299835,-9.876794249633492e-5,-1.7564905915288507,0.005524259187433649,28857.59178707224,-1139.7278169092642,-3.949490398640419,27717.863970162976,8500.010646387833,603.8360108245531,7.1039441707188855,9103.846657212385,P1,100
Lilyfield - Rozelle,11495,-581.6697543923657,-5.060197950346809,10913.330245607634,14031,-130.5427766398952,-0.930388259139728,13900.457223360105,0.002999874283652,-2.7910478124050248e-5,-0.9303882591397287,0.0029719638055279497,32268.908844701018,-413.37426952227906,-1.2810295864409453,31855.53457517874,8824.644002565747,1197.1216699141748,13.565665306907727,10021.765672479922,P1,100
Rest_of_Sydney,3046900,11531.71366638608,0.3784736508052801,3058431.713666386,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-75.23729121557335,-0.377026980080823,19880.175766875065,5950.084930835179,0,0,5950.084930835179,P1,100
Darlinghurst,13419,-566.7462983938054,-4.223461497829983,12852.253701606194,11251,-2358.5987935991557,-20.963459191175506,8892.401206400844,0.0024055010737202374,-5.042762359326305e-4,-20.963459191175506,0.0019012248377876068,23809.74997777975,5557.59653652988,23.34168372921371,29367.34651430963,9923.288596569193,943.4473323196241,9.507405968680633,10866.735928888816,P1,100
Erskineville - Alexandria,15747,-1098.6758394810583,-6.977048577386539,14648.324160518941,15204,-2239.823995687283,-14.73180739073456,12964.176004312718,0.003250665569713136,-4.7888179064706346e-4,-14.731807390734561,0.0027717837790660724,39999.28571428572,2471.8155438660106,6.1796492105437855,42471.10125815173,10447.060773480664,1047.6560418163285,10.02823726722975,11494.716815296992,P1,100
Glebe - Forest Lodge,16791,-356.8875653623358,-2.1254693905207303,16434.112434637664,18118,-882.5503823092698,-4.871124750575502,17235.44961769073,0.0038736884235768612,-1.8869219556103076e-4,-4.871124750575509,0.0036849962280158305,20853.906722596315,-583.5103713893768,-2.7980866086694074,20270.39635120694,8096.21481399713,1123.6062923728912,13.878167985740028,9219.82110637002,P1,100
Newtown - Camperdown - Darlington,23102,-1357.9063541943176,-5.8778735788863195,21744.093645805682,23418,-1875.9396881232592,-8.010674216941073,21542.06031187674,0.005006845982079861,-4.010821201684209e-4,-8.01067421694106,0.00460576386191144,22158.900162268343,-581.924143101045,-2.626141815882775,21576.976019167298,8325.001281065846,271.0511961562385,3.255869723079922,8596.052477222085,P1,100
Potts Point - Woolloomooloo,24612,-1297.345223833688,-5.271189760416415,23314.654776166313,20247,-2332.398575495633,-11.519724282588205,17914.601424504366,0.004328875676794387,-4.986745425027378e-4,-11.51972428258821,0.0038302011342916495,18317.687953770932,3255.058843437484,17.770031084995026,21572.746797208416,9909.92443324937,563.7775422269582,5.689019588639798,10473.70197547633,P1,100
Pyrmont - Ultimo,22047,-2220.290005795161,-10.070712594888924,19826.709994204837,20823,-2804.2626692590843,-13.467140514138624,18018.737330740914,0.004452026385039241,-5.995606489997609e-4,-13.467140514138624,0.0038524657360394805,18468.849085146234,-4864.714837159194,-26.34010822618986,13604.13424798704,9074.888344618932,693.4153111782214,7.641034080484203,9768.303655797154,P1,100
Redfern - Chippendale,19723,-1604.0435185742783,-8.132857671623375,18118.95648142572,18872,-5040.489102501158,-26.70882313745845,13831.510897498842,0.004034896121522382,-0.0010776732688775833,-26.708823137458445,0.0029572228526447988,17803.68622827469,3303.9468357369115,18.55765594481098,21107.633064011603,7500.61042814752,1447.9468916799067,19.30438736354311,8948.557319827427,P1,100
Surry Hills,19175,283.4029109925083,1.4779812828813992,19458.402910992507,16961,-72.52341285670379,-0.42758925096811884,16888.476587143297,0.003626317990522527,-1.5505745933397375e-5,-0.42758925096811784,0.0036108122445891295,25625.831318908084,-2145.603839880616,-8.372816527116825,23480.227479027468,9019.37432934379,941.5043229145991,10.438687746349464,9960.878652258389,P1,100
Sydney - Haymarket - The Rocks,43906,3900.3117999147103,8.883323008050631,47806.31179991471,25763,-4380.433775945539,-17.002809362052314,21382.566224054463,0.005508214750889208,-9.365512533461365e-4,-17.00280936205231,0.004571663497543071,12295.99774870939,3787.089254248265,30.79936522146619,16083.087002957654,8747.02045569227,1322.525745227886,15.119728505576207,10069.546200920156,P1,100
Waterloo - Beaconsfield,20593,-1613.767973321538,-7.8364879974823385,18979.232026678463,24217,-9858.1353054144,-40.70750012559111,14358.8646945856,0.005177674829107012,-0.0021077019875614367,-40.70750012559112,0.0030699728415455757,22796.264772680348,11189.207754405514,49.08351375096748,33985.47252708586,7410.134533592104,1529.658864699638,20.64279478011214,8939.793398291742,P1,100
Bondi Junction - Waverly,16222.000000000002,-561.038115069317,-3.4585015107219634,15660.961884930684,17195,-498.9971051361503,-2.9019895617106712,16696.00289486385,0.003676347965746999,-1.0668723421814038e-4,-2.9019895617106677,0.0035696607315288584,19955.088339633618,-2211.820507522447,-11.083992563087078,17743.26783211117,8824.239604536202,1002.5549004229509,11.361374411315577,9826.794504959153,P1,100
Paddington - Moore Park,14317,-994.7514662403045,-6.948044047218722,13322.248533759695,15672,-236.65658938301655,-1.5100599118364961,15435.343410616984,0.0033507255201620802,-5.0597962835642694e-5,-1.5100599118365023,0.0033001275573264375,29047.833652373658,-2088.820213069095,-7.190967278547487,26959.013439304563,9550.088820826953,1162.1595318683258,12.16909657776034,10712.248352695278,P1,100
Balmain,13266,-1905.0728481473905,-14.360567225594682,11360.92715185261,15886,-143.24400280451633,-0.9016996273732635,15742.755997195483,0.0033964794291280504,-3.0626042356257134e-5,-0.9016996273732623,0.0033658533867717932,35551.64408913509,-4344.31255521634,-12.219723353227431,31207.331533918747,9207.105375802594,922.5959520501493,10.02047782004152,10129.701327852743,P1,100
Leichhardt - Annandale,22014,-1557.2334144877389,-7.07383217265258,20456.76658551226,26300,-461.9570255720906,-1.7564905915288596,25838.04297442791,0.0056230271299299835,-9.876794249633492e-5,-1.7564905915288507,0.005524259187433649,28857.59178707224,-1139.7278169092642,-3.949490398640419,27717.863970162976,8500.010646387833,603.8360108245531,7.1039441707188855,9103.846657212385,P1,100
Lilyfield - Rozelle,11495,-581.6697543923657,-5.060197950346809,10913.330245607634,14031,-130.5427766398952,-0.930388259139728,13900.457223360105,0.002999874283652,-2.7910478124050248e-5,-0.9303882591397287,0.0029719638055279497,32268.908844701018,-413.37426952227906,-1.2810295864409453,31855.53457517874,8824.644002565747,1197.1216699141748,13.565665306907727,10021.765672479922,P1,100
Rest_of_Sydney,3046900,11531.71366638608,0.3784736508052801,3058431.713666386,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-75.23729121557335,-0.377026980080823,19880.175766875065,5950.084930835179,0,0,5950.084930835179,P1,100
Darlinghurst,13419,-569.5134306752527,-4.244082500001883,12849.486569324747,11251,-2237.614292159169,-19.888136984793963,9013.385707840831,0.0024055010737202374,-4.784093487121704e-4,-19.888136984793963,0.001927091725008067,23809.74997777975,5269.146116433218,22.13020347273955,29078.896094212967,9923.288596569193,1036.1205036758533,10.441301727675988,10959.409100245046,P2,0
Erskineville - Alexandria,15747,-1093.8766613977232,-6.9465718003284636,14653.123338602276,15204,-2071.109558899171,-13.622136009597279,13132.89044110083,0.003250665569713136,-4.4281008512347345e-4,-13.622136009597273,0.0028078554845896624,39999.28571428572,2163.046153828087,5.407711950855053,42162.331868113804,10447.060773480664,1141.0504029721012,10.922214656476394,11588.111176452765,P2,0
Glebe - Forest Lodge,16791,-347.49205937536607,-2.069513783427825,16443.507940624633,18118,-648.0140061859158,-3.5766310088636524,17469.985993814083,0.0038736884235768612,-1.3854754134441172e-4,-3.5766310088636555,0.0037351408822324495,20853.906722596315,-735.4247394693812,-3.52655619521166,20118.481983126934,8096.21481399713,1197.130182012791,14.786294700866067,9293.34499600992,P2,0
Newtown - Camperdown - Darlington,23102,-1343.4512349545462,-5.8153027225112375,21758.548765045452,23418,-1586.2439637228908,-6.773609888645012,21831.75603627711,0.005006845982079861,-3.3914421455138663e-4,-6.773609888645006,0.004667701767528475,22158.900162268343,-759.2021362357373,-3.4261724664858995,21399.698026032605,8325.001281065846,346.964412531602,4.167740049731023,8671.965693597449,P2,0
Potts Point - Woolloomooloo,24612,-1353.4806796202067,-5.499271410776071,23258.519320379793,20247,-2096.6658948083177,-10.355439792602938,18150.334105191683,0.004328875676794387,-4.4827411440707607e-4,-10.355439792602946,0.003880601562387311,18317.687953770932,3001.386960743508,16.385184463881174,21319.07491451444,9909.92443324937,659.8596520392487,6.658574003100514,10569.78408528862,P2,0
Pyrmont - Ultimo,22047,-2214.300487959124,-10.0435455524975,19832.699512040876,20823,-2565.321129679152,-12.319651969836972,18257.678870320848,0.004452026385039241,-5.484741562421483e-4,-12.319651969836965,0.003903552228797093,18468.849085146234,-4981.283554850495,-26.971272177738165,13487.565530295738,9074.888344618932,774.3020036337571,8.532358462491597,9849.190348252689,P2,0
Redfern - Chippendale,19723,-1601.360131835747,-8.119252303583366,18121.639868164253,18872,-5009.478541353781,-26.544502656601214,13862.521458646219,0.004034896121522382,-0.001071043108168608,-26.54450265660121,0.002963853013353774,17803.68622827469,3311.3561309724682,18.599272580492805,21115.04235924716,7500.61042814752,1514.132336495903,20.186788142120047,9014.742764643423,P2,0
Surry Hills,19175,245.29404535844665,1.2792388284664753,19420.294045358445,16961,-415.2563876175294,-2.448301324317729,16545.74361238247,0.003626317990522527,-8.878319138593514e-5,-2.4483013243177307,0.0035375347991365917,25625.831318908084,-1629.1066947858417,-6.357283299464323,23996.724624122242,9019.37432934379,1028.8394906594913,11.406994022991672,10048.21382000328,P2,0
Sydney - Haymarket - The Rocks,43906,3805.649782763101,8.667721456664466,47711.6497827631,25763,-4107.638850789431,-15.943946166166324,21655.36114921057,0.005508214750889208,-8.782267945986076e-4,-15.943946166166322,0.0046299879562906,12295.99774870939,3609.7232676875938,29.35689597102014,15905.721016396983,8747.02045569227,1403.5044567093378,16.045514742062636,10150.524912401608,P2,0
Waterloo - Beaconsfield,20593,-1623.6515581693532,-7.884482873643244,18969.348441830647,24217,-7616.161968622644,-31.449650941993823,16600.838031377356,0.005177674829107012,-0.0016283606606656308,-31.44965094199383,0.0035493141684413815,22796.264772680348,6703.981996999293,29.40824763990952,29500.24676967964,7410.134533592104,1590.173715194062,21.459444602326492,9000.308248786167,P2,0
Bondi Junction - Waverly,16222.000000000002,-551.659318634945,-3.400686220163635,15670.340681365056,17195,-452.21892990475885,-2.6299443437322503,16742.78107009524,0.003676347965746999,-9.66859053810787e-5,-2.6299443437322463,0.00357966206036592,19955.088339633618,-2181.526954776069,-10.932183900400226,17773.56138485755,8824.239604536202,1082.7789023690445,12.27050659200629,9907.018506905246,P2,0
Paddington - Moore Park,14317,-997.2978574606252,-6.965829834885977,13319.702142539374,15672,-277.30777984604634,-1.7694472935556866,15394.692220153953,0.0033507255201620802,-5.928932203098794e-5,-1.769447293555696,0.0032914361981310923,29047.833652373658,-1902.114371896194,-6.5482142133541235,27145.719280477464,9550.088820826953,1251.0624811837079,13.100008854947768,10801.151302010661,P2,0
Balmain,13266,-1898.4704580526459,-14.310797965118693,11367.529541947355,15886,-193.27088877795933,-1.2166114111668076,15692.729111222041,0.0033964794291280504,-4.132195631270522e-5,-1.216611411166811,0.003355157472815345,35551.64408913509,-4092.830918092466,-11.512353431056297,31458.81317104262,9207.105375802594,1005.920758087515,10.925483276548551,10213.02613389011,P2,0
Leichhardt - Annandale,22014,-1561.3904199895774,-7.092715635457334,20452.609580010423,26300,-425.1736251329778,-1.6166297533573326,25874.82637486702,0.0056230271299299835,-9.090352962180283e-5,-1.6166297533573297,0.005532123600308181,28857.59178707224,-1073.5782907472858,-3.720262933472614,27784.013496324955,8500.010646387833,683.0520833365122,8.03589679769145,9183.062729724345,P2,0
Lilyfield - Rozelle,11495,-587.6666791930896,-5.112367805072551,10907.33332080691,14031,-173.7643451513227,-1.2384316524219452,13857.235654848677,0.002999874283652,-3.715139266161245e-5,-1.2384316524219452,0.0029627228909903875,32268.908844701018,-208.9294952557102,-0.6474637746854561,32059.979349445308,8824.644002565747,1280.792822820747,14.513818602182242,10105.436825386494,P2,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-134.78577763779685,-0.6754346665009265,19820.62728045284,5950.084930835179,0,0,5950.084930835179,P2,0
Darlinghurst,13419,-569.5134306752527,-4.244082500001883,12849.486569324747,11251,-2237.614292159169,-19.888136984793963,9013.385707840831,0.0024055010737202374,-4.784093487121704e-4,-19.888136984793963,0.001927091725008067,23809.74997777975,5269.146116433218,22.13020347273955,29078.896094212967,9923.288596569193,1036.1205036758533,10.441301727675988,10959.409100245046,P2,0
Erskineville - Alexandria,15747,-1093.8766613977232,-6.9465718003284636,14653.123338602276,15204,-2071.109558899171,-13.622136009597279,13132.89044110083,0.003250665569713136,-4.4281008512347345e-4,-13.622136009597273,0.0028078554845896624,39999.28571428572,2163.046153828087,5.407711950855053,42162.331868113804,10447.060773480664,1141.0504029721012,10.922214656476394,11588.111176452765,P2,0
Glebe - Forest Lodge,16791,-347.49205937536607,-2.069513783427825,16443.507940624633,18118,-648.0140061859158,-3.5766310088636524,17469.985993814083,0.0038736884235768612,-1.3854754134441172e-4,-3.5766310088636555,0.0037351408822324495,20853.906722596315,-735.4247394693812,-3.52655619521166,20118.481983126934,8096.21481399713,1197.130182012791,14.786294700866067,9293.34499600992,P2,0
Newtown - Camperdown - Darlington,23102,-1343.4512349545462,-5.8153027225112375,21758.548765045452,23418,-1586.2439637228908,-6.773609888645012,21831.75603627711,0.005006845982079861,-3.3914421455138663e-4,-6.773609888645006,0.004667701767528475,22158.900162268343,-759.2021362357373,-3.4261724664858995,21399.698026032605,8325.001281065846,346.964412531602,4.167740049731023,8671.965693597449,P2,0
Potts Point - Woolloomooloo,24612,-1353.4806796202067,-5.499271410776071,23258.519320379793,20247,-2096.6658948083177,-10.355439792602938,18150.334105191683,0.004328875676794387,-4.4827411440707607e-4,-10.355439792602946,0.003880601562387311,18317.687953770932,3001.386960743508,16.385184463881174,21319.07491451444,9909.92443324937,659.8596520392487,6.658574003100514,10569.78408528862,P2,0
Pyrmont - Ultimo,22047,-2214.300487959124,-10.0435455524975,19832.699512040876,20823,-2565.321129679152,-12.319651969836972,18257.678870320848,0.004452026385039241,-5.484741562421483e-4,-12.319651969836965,0.003903552228797093,18468.849085146234,-4981.283554850495,-26.971272177738165,13487.565530295738,9074.888344618932,774.3020036337571,8.532358462491597,9849.190348252689,P2,0
Redfern - Chippendale,19723,-1601.360131835747,-8.119252303583366,18121.639868164253,18872,-5009.478541353781,-26.544502656601214,13862.521458646219,0.004034896121522382,-0.001071043108168608,-26.54450265660121,0.002963853013353774,17803.68622827469,3311.3561309724682,18.599272580492805,21115.04235924716,7500.61042814752,1514.132336495903,20.186788142120047,9014.742764643423,P2,0
Surry Hills,19175,245.29404535844665,1.2792388284664753,19420.294045358445,16961,-415.2563876175294,-2.448301324317729,16545.74361238247,0.003626317990522527,-8.878319138593514e-5,-2.4483013243177307,0.0035375347991365917,25625.831318908084,-1629.1066947858417,-6.357283299464323,23996.724624122242,9019.37432934379,1028.8394906594913,11.406994022991672,10048.21382000328,P2,0
Sydney - Haymarket - The Rocks,43906,3805.649782763101,8.667721456664466,47711.6497827631,25763,-4107.638850789431,-15.943946166166324,21655.36114921057,0.005508214750889208,-8.782267945986076e-4,-15.943946166166322,0.0046299879562906,12295.99774870939,3609.7232676875938,29.35689597102014,15905.721016396983,8747.02045569227,1403.5044567093378,16.045514742062636,10150.524912401608,P2,0
Waterloo - Beaconsfield,20593,-1623.6515581693532,-7.884482873643244,18969.348441830647,24217,-7616.161968622644,-31.449650941993823,16600.838031377356,0.005177674829107012,-0.0016283606606656308,-31.44965094199383,0.0035493141684413815,22796.264772680348,6703.981996999293,29.40824763990952,29500.24676967964,7410.134533592104,1590.173715194062,21.459444602326492,9000.308248786167,P2,0
Bondi Junction - Waverly,16222.000000000002,-551.659318634945,-3.400686220163635,15670.340681365056,17195,-452.21892990475885,-2.6299443437322503,16742.78107009524,0.003676347965746999,-9.66859053810787e-5,-2.6299443437322463,0.00357966206036592,19955.088339633618,-2181.526954776069,-10.932183900400226,17773.56138485755,8824.239604536202,1082.7789023690445,12.27050659200629,9907.018506905246,P2,0
Paddington - Moore Park,14317,-997.2978574606252,-6.965829834885977,13319.702142539374,15672,-277.30777984604634,-1.7694472935556866,15394.692220153953,0.0033507255201620802,-5.928932203098794e-5,-1.769447293555696,0.0032914361981310923,29047.833652373658,-1902.114371896194,-6.5482142133541235,27145.719280477464,9550.088820826953,1251.0624811837079,13.100008854947768,10801.151302010661,P2,0
Balmain,13266,-1898.4704580526459,-14.310797965118693,11367.529541947355,15886,-193.27088877795933,-1.2166114111668076,15692.729111222041,0.0033964794291280504,-4.132195631270522e-5,-1.216611411166811,0.003355157472815345,35551.64408913509,-4092.830918092466,-11.512353431056297,31458.81317104262,9207.105375802594,1005.920758087515,10.925483276548551,10213.02613389011,P2,0
Leichhardt - Annandale,22014,-1561.3904199895774,-7.092715635457334,20452.609580010423,26300,-425.1736251329778,-1.6166297533573326,25874.82637486702,0.0056230271299299835,-9.090352962180283e-5,-1.6166297533573297,0.005532123600308181,28857.59178707224,-1073.5782907472858,-3.720262933472614,27784.013496324955,8500.010646387833,683.0520833365122,8.03589679769145,9183.062729724345,P2,0
Lilyfield - Rozelle,11495,-587.6666791930896,-5.112367805072551,10907.33332080691,14031,-173.7643451513227,-1.2384316524219452,13857.235654848677,0.002999874283652,-3.715139266161245e-5,-1.2384316524219452,0.0029627228909903875,32268.908844701018,-208.9294952557102,-0.6474637746854561,32059.979349445308,8824.644002565747,1280.792822820747,14.513818602182242,10105.436825386494,P2,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-134.78577763779685,-0.6754346665009265,19820.62728045284,5950.084930835179,0,0,5950.084930835179,P2,0
Darlinghurst,13419,-569.5134306752527,-4.244082500001883,12849.486569324747,11251,-2237.614292159169,-19.888136984793963,9013.385707840831,0.0024055010737202374,-4.784093487121704e-4,-19.888136984793963,0.001927091725008067,23809.74997777975,5269.146116433218,22.13020347273955,29078.896094212967,9923.288596569193,1036.1205036758533,10.441301727675988,10959.409100245046,P2,0
Erskineville - Alexandria,15747,-1093.8766613977232,-6.9465718003284636,14653.123338602276,15204,-2071.109558899171,-13.622136009597279,13132.89044110083,0.003250665569713136,-4.4281008512347345e-4,-13.622136009597273,0.0028078554845896624,39999.28571428572,2163.046153828087,5.407711950855053,42162.331868113804,10447.060773480664,1141.0504029721012,10.922214656476394,11588.111176452765,P2,0
Glebe - Forest Lodge,16791,-347.49205937536607,-2.069513783427825,16443.507940624633,18118,-648.0140061859158,-3.5766310088636524,17469.985993814083,0.0038736884235768612,-1.3854754134441172e-4,-3.5766310088636555,0.0037351408822324495,20853.906722596315,-735.4247394693812,-3.52655619521166,20118.481983126934,8096.21481399713,1197.130182012791,14.786294700866067,9293.34499600992,P2,0
Newtown - Camperdown - Darlington,23102,-1343.4512349545462,-5.8153027225112375,21758.548765045452,23418,-1586.2439637228908,-6.773609888645012,21831.75603627711,0.005006845982079861,-3.3914421455138663e-4,-6.773609888645006,0.004667701767528475,22158.900162268343,-759.2021362357373,-3.4261724664858995,21399.698026032605,8325.001281065846,346.964412531602,4.167740049731023,8671.965693597449,P2,0
Potts Point - Woolloomooloo,24612,-1353.4806796202067,-5.499271410776071,23258.519320379793,20247,-2096.6658948083177,-10.355439792602938,18150.334105191683,0.004328875676794387,-4.4827411440707607e-4,-10.355439792602946,0.003880601562387311,18317.687953770932,3001.386960743508,16.385184463881174,21319.07491451444,9909.92443324937,659.8596520392487,6.658574003100514,10569.78408528862,P2,0
Pyrmont - Ultimo,22047,-2214.300487959124,-10.0435455524975,19832.699512040876,20823,-2565.321129679152,-12.319651969836972,18257.678870320848,0.004452026385039241,-5.484741562421483e-4,-12.319651969836965,0.003903552228797093,18468.849085146234,-4981.283554850495,-26.971272177738165,13487.565530295738,9074.888344618932,774.3020036337571,8.532358462491597,9849.190348252689,P2,0
Redfern - Chippendale,19723,-1601.360131835747,-8.119252303583366,18121.639868164253,18872,-5009.478541353781,-26.544502656601214,13862.521458646219,0.004034896121522382,-0.001071043108168608,-26.54450265660121,0.002963853013353774,17803.68622827469,3311.3561309724682,18.599272580492805,21115.04235924716,7500.61042814752,1514.132336495903,20.186788142120047,9014.742764643423,P2,0
Surry Hills,19175,245.29404535844665,1.2792388284664753,19420.294045358445,16961,-415.2563876175294,-2.448301324317729,16545.74361238247,0.003626317990522527,-8.878319138593514e-5,-2.4483013243177307,0.0035375347991365917,25625.831318908084,-1629.1066947858417,-6.357283299464323,23996.724624122242,9019.37432934379,1028.8394906594913,11.406994022991672,10048.21382000328,P2,0
Sydney - Haymarket - The Rocks,43906,3805.649782763101,8.667721456664466,47711.6497827631,25763,-4107.638850789431,-15.943946166166324,21655.36114921057,0.005508214750889208,-8.782267945986076e-4,-15.943946166166322,0.0046299879562906,12295.99774870939,3609.7232676875938,29.35689597102014,15905.721016396983,8747.02045569227,1403.5044567093378,16.045514742062636,10150.524912401608,P2,0
Waterloo - Beaconsfield,20593,-1623.6515581693532,-7.884482873643244,18969.348441830647,24217,-7616.161968622644,-31.449650941993823,16600.838031377356,0.005177674829107012,-0.0016283606606656308,-31.44965094199383,0.0035493141684413815,22796.264772680348,6703.981996999293,29.40824763990952,29500.24676967964,7410.134533592104,1590.173715194062,21.459444602326492,9000.308248786167,P2,0
Bondi Junction - Waverly,16222.000000000002,-551.659318634945,-3.400686220163635,15670.340681365056,17195,-452.21892990475885,-2.6299443437322503,16742.78107009524,0.003676347965746999,-9.66859053810787e-5,-2.6299443437322463,0.00357966206036592,19955.088339633618,-2181.526954776069,-10.932183900400226,17773.56138485755,8824.239604536202,1082.7789023690445,12.27050659200629,9907.018506905246,P2,0
Paddington - Moore Park,14317,-997.2978574606252,-6.965829834885977,13319.702142539374,15672,-277.30777984604634,-1.7694472935556866,15394.692220153953,0.0033507255201620802,-5.928932203098794e-5,-1.769447293555696,0.0032914361981310923,29047.833652373658,-1902.114371896194,-6.5482142133541235,27145.719280477464,9550.088820826953,1251.0624811837079,13.100008854947768,10801.151302010661,P2,0
Balmain,13266,-1898.4704580526459,-14.310797965118693,11367.529541947355,15886,-193.27088877795933,-1.2166114111668076,15692.729111222041,0.0033964794291280504,-4.132195631270522e-5,-1.216611411166811,0.003355157472815345,35551.64408913509,-4092.830918092466,-11.512353431056297,31458.81317104262,9207.105375802594,1005.920758087515,10.925483276548551,10213.02613389011,P2,0
Leichhardt - Annandale,22014,-1561.3904199895774,-7.092715635457334,20452.609580010423,26300,-425.1736251329778,-1.6166297533573326,25874.82637486702,0.0056230271299299835,-9.090352962180283e-5,-1.6166297533573297,0.005532123600308181,28857.59178707224,-1073.5782907472858,-3.720262933472614,27784.013496324955,8500.010646387833,683.0520833365122,8.03589679769145,9183.062729724345,P2,0
Lilyfield - Rozelle,11495,-587.6666791930896,-5.112367805072551,10907.33332080691,14031,-173.7643451513227,-1.2384316524219452,13857.235654848677,0.002999874283652,-3.715139266161245e-5,-1.2384316524219452,0.0029627228909903875,32268.908844701018,-208.9294952557102,-0.6474637746854561,32059.979349445308,8824.644002565747,1280.792822820747,14.513818602182242,10105.436825386494,P2,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-134.78577763779685,-0.6754346665009265,19820.62728045284,5950.084930835179,0,0,5950.084930835179,P2,0
Darlinghurst,13419,-569.5134306752527,-4.244082500001883,12849.486569324747,11251,-2237.614292159169,-19.888136984793963,9013.385707840831,0.0024055010737202374,-4.784093487121704e-4,-19.888136984793963,0.001927091725008067,23809.74997777975,5269.146116433218,22.13020347273955,29078.896094212967,9923.288596569193,1036.1205036758533,10.441301727675988,10959.409100245046,P2,50
Erskineville - Alexandria,15747,-1093.8766613977232,-6.9465718003284636,14653.123338602276,15204,-2071.109558899171,-13.622136009597279,13132.89044110083,0.003250665569713136,-4.4281008512347345e-4,-13.622136009597273,0.0028078554845896624,39999.28571428572,2163.046153828087,5.407711950855053,42162.331868113804,10447.060773480664,1141.0504029721012,10.922214656476394,11588.111176452765,P2,50
Glebe - Forest Lodge,16791,-347.49205937536607,-2.069513783427825,16443.507940624633,18118,-648.0140061859158,-3.5766310088636524,17469.985993814083,0.0038736884235768612,-1.3854754134441172e-4,-3.5766310088636555,0.0037351408822324495,20853.906722596315,-735.4247394693812,-3.52655619521166,20118.481983126934,8096.21481399713,1197.130182012791,14.786294700866067,9293.34499600992,P2,50
Newtown - Camperdown - Darlington,23102,-1343.4512349545462,-5.8153027225112375,21758.548765045452,23418,-1586.2439637228908,-6.773609888645012,21831.75603627711,0.005006845982079861,-3.3914421455138663e-4,-6.773609888645006,0.004667701767528475,22158.900162268343,-759.2021362357373,-3.4261724664858995,21399.698026032605,8325.001281065846,346.964412531602,4.167740049731023,8671.965693597449,P2,50
